,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
484,Logistics/Information Technology/Anmensty Robotics (Former  Employee),Logistics/Information Technology/Anmensty Robotics ,Former Employee, Fort Worth, TX ," Fort Worth, TX "," November 30, 2021",Hard work.,"Management is th worst at most FC's. Very heavy overturn. To much micro management, lack of caring, doesn't listen to employees needs. Equipment always failing at some FCs. HR doesn't care or doesn't know what goes on. Lack of moving up unless your buddies with the management. Needs a major overhaul in the work place. The place I'm reviewing is DFW7 in Haslet, TX.","Busy work, and some people you work with.","Management, Hr, Lack of Concern for Safety and Employee Concerns, Favoritism, Overturn of employees.",3,Amazon.com
485,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Atlanta, GA ," Atlanta, GA "," November 30, 2021",good pay pick up as many hours as you would like,"job is decent sometimes they can over work you but the pay is decent especially during peak season they also have a lot of perks days where they give out pizza, cupcakes and incentives", , ,3,Amazon.com
486,magazziniere (Current  Employee),magazziniere ,Current Employee, Pomezia, Lazio ," Pomezia, Lazio "," November 30, 2021",Buon ambiente lavorativo,"Ho iniziato da poco, ma devo dire che mi sto già trovando bene.", , ,5,Amazon.com
487,Amazon Warehouse Associate (Current  Employee),Amazon Warehouse Associate ,Current Employee, Dallas, TX ," Dallas, TX "," November 30, 2021","Easy Job, Bad Management","The Amazon on Forney Road, Dallas Texas has by far the worst managers ever! They’ll act nice, but are really gossiping about employees, and one has even called employees “stupid” for not knowing how to do certain tasks due to inadequate training. If you work here, just stay to yourself! Don’t talk to anyone, because these people are messy, and will talk about you behind your back 24/7.",Flexible Schedule,"Short Breaks, Rude Management",1,Amazon.com
488,AFE Associate (Former  Employee),AFE Associate ,Former Employee, Haslet, TX ," Haslet, TX "," November 30, 2021",Get free tshirts.,It is too hot with not enough fans. There are some really nice people there and you can cultivate friendships with them. Free pain meds in the vending machine., , ,3,Amazon.com
489,Ring Security Expert (Current  Employee),Ring Security Expert ,Current Employee, Texas , Texas , Texas ," November 30, 2021",Work From Home is the only benefit,"Imagine one day you’re doing your regular job and your boss tells you that you’re going to go answer phones and sell doorbells to people. Wait, what?

Amazon took our team and sent us over to Ring who the previously purchased with the expectation that we would be back to doing our regular job in no time. One year later and our team has dwindled down to less than 20 people nationwide. On average 2 people are leaving this job ever week.",Work From Home,Translating a website,1,Amazon.com
490,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, VA , VA , VA ," November 30, 2021",Honestly the people at amazon make work bearable.,Amazon makes you work hard for the money lol. It's a good place to work if you love staying on your feet during your shift. I worked there for 7 months though and I did the same thing everyday.,You will get to meet amazing co workers.,"Short breaks, Easy to get injuries, they can honestly do better with their benefits.",3,Amazon.com
491,Problem Solver (Former  Employee),Problem Solver ,Former Employee, Memphis, TN ," Memphis, TN "," November 30, 2021",OKay,Working here was okay I will work with them again as long if there no mandates. Nothing wrong with the job itself just management they do not know what to do at all.,"Weekly pay, good pay and bonuses",management,3,Amazon.com
492,Amazon Warehouse Associate (Former  Employee),Amazon Warehouse Associate ,Former Employee, Buena Park, CA ," Buena Park, CA "," November 30, 2021",Fun workplace,"Good company, pay is definitely not worth it though, managers are helpful but sometimes that depends on who you get along with in the warehouse. :))))", , ,4,Amazon.com
493,Amazon Warehouse Associate (Current  Employee),Amazon Warehouse Associate ,Current Employee, Moreland, GA ," Moreland, GA "," November 30, 2021",Productive and fun working Environment,Pays well works very hard be expected to get pushed to limit every day Three strike program Where are you have three opportunities to keep your job they take workplace Harassment and bullying very seriously managers care about your overall feelings and the job works with you if you have other jobs,Good pay and benefits,Learning to work with others attitudes and problems,5,Amazon.com
494,Inbound Stower (Current  Employee),Inbound Stower ,Current Employee, Akron, OH ," Akron, OH "," November 30, 2021",Work life balance is a mess..,I've never worked so many days and long hours on mandated weeks. If I wanted to work almost 60 hours a week I would choose it. Then on top of that they split my mandated overtime day into two so I only have one day off., , ,3,Amazon.com
495,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Monee, IL ," Monee, IL "," November 30, 2021",Decent pay tiring work,Pay was okay but the work was super tiring and you work alone for the most part of the whole shift. Typically good schedules that are stable and stay the same.”, , ,3,Amazon.com
496,Remote Technical Support Representative (Former  Employee),Remote Technical Support Representative ,Former Employee, Remote , Remote , Remote ," November 30, 2021",Bad Pay,"Long hours, horrible pay. Worked as a customer care agent and hated it. Rude customers, horrible pay, little to no room for advancement. They add to your job duties without any extra pay.", , ,1,Amazon.com
497,Amazon Warehouse Associate (Former  Employee),Amazon Warehouse Associate ,Former Employee, Lexington, KY ," Lexington, KY "," November 30, 2021",Good place to work.,"I really liked Amazon as my first job. I liked my position (picker) and overall the pay and the flexibility schedule was great. I had some trouble clocking in, but overall it was a good job.","Benefits, Flexible, etc",None,4,Amazon.com
498,Associate (Former  Employee),Associate ,Former Employee, Burnaby, BC ," Burnaby, BC "," November 30, 2021",Easy work but hard on your health and body,"It was a pretty basic, easy job but very fast paced. The pay was not nearly enough for how hard you work there. The management team bought lunch for their employees occasionally which was nice.",Nice people,Hard work not enough pay,3,Amazon.com
499,Picket (Current  Employee),Picket ,Current Employee, Beaumont, CA ," Beaumont, CA "," November 30, 2021",The typical day at work is exhausting.,Amazon seems caring but doesn't truly care. I once hurt my knee and went to the Wellness center for care. They told me a person would come to see me at my station and never showed up. Their all about SAFETY but the ladders needs service it's hard to move. That's how I hurt my knee. I was told not to see my doctor for an injury because my doctor won't see me. What ever happened to WORKERS COMP?,Paid every Friday,For ones health it's not wirth it in a long run.,2,Amazon.com
500,Amazon Shopper (Current  Employee),Amazon Shopper ,Current Employee, San Francisco, CA ," San Francisco, CA "," November 30, 2021",An okay place to work,Alot of times Amazon has new managers coming in every 8 months to a year and not knowing what they are doing most of the time. Some managers are very friendly and understanding other not so much. Alot of changes come a week or 2 in advance but alot of times people don't get anything about certain changes and finds out last minute. This is a good job if you need extra money but wouldn't recommend unless there's full time available,"Place to grow, pay","Short breaks, hours",3,Amazon.com
501,Fulfillment Center Associate (Former  Employee),Fulfillment Center Associate ,Former Employee, Colorado , Colorado , Colorado ," November 30, 2021","Hard work, do not recommend","Not worth it, long hours standing and the mandatory overtime is absurd, almost inhumane.
Benefits seem to be good I didn’t even have a chance to use it, out of work I had time only to try to sleep.
I even wonder if mandatory overtime is legal!!",Benefits,Mandatory overtime,1,Amazon.com
502,Fulfillment Associate (Former  Employee),Fulfillment Associate ,Former Employee, Concord, NC ," Concord, NC "," November 30, 2021",Work Quality,"You come in on your shift, You prepare to start your workday, You are on your feet for 10 hours. Haven't had the opportunity to learn different things. I've asked to be crossed trained in different areas. That never happened. It was more of being micro managed by management. Although there was rude people at this particular site, the work culture was ok. The hardest part of the job was you are on your feet constantly. For a that kind of work you will need at least an hour lunch break. I wish there was an enjoyable part of that job.",Good benefits,"Short breaks, constant work",2,Amazon.com
503,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Macon, GA ," Macon, GA "," November 30, 2021",Bad,Don’t do it! Worst experience ever. Worst management they don’t care about there employees thaey on care about they selfs and thats what really bothered me the most, , ,2,Amazon.com
504,Central Operations Dispatcher (Current  Employee),Central Operations Dispatcher ,Current Employee, Tempe, AZ ," Tempe, AZ "," November 30, 2021",It's ok but don't count on the unexpected,Very hard to get schedules as a flex worker. Yeah it's great to work when you want to and not be on a set schedule. But when you want to work it's hard to get the hours. Hours released to 300+ employees on Thursday at 330 and gone in seconds. So much anxiety and stress to get hours isn't my idea of fun.,Flexible schedule,Not getting hours,3,Amazon.com
505,Flex Delivery Driver (Former  Employee),Flex Delivery Driver ,Former Employee, Kansas City, KS ," Kansas City, KS "," November 30, 2021",Fun flexible,Working here is fun if you don’t mind long days. You are independent and they offer support while on the road. You can pick your own shifts with Amazon flex but it is hard work. You do not pick your territory you find out where you deliver when you show up to pick up packages. If your app fails on the road it does take time out of your day that is fast paced to stop and fix errors or get directions.,Choosing when you work,Time you may spend if your app is not functioning,4,Amazon.com
506,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Robbinsville, NJ ," Robbinsville, NJ "," November 30, 2021",It sucked. Don't do it.,Very labor intensive lonely job. You work in a hot environment pouring sweat and constantly moving. Management is nearly non existant. They water from the fountains made people sick.,Pay is good,Everything else.,3,Amazon.com
507,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Las Vegas, NV ," Las Vegas, NV "," November 29, 2021",Stressful and not worth the time or pay.,Las2 specifically treated employees like trash. No respect between management and tier 1 workers. Very high school. Not good for mental or spiritual health.,pay was okay,the rest of it.,1,Amazon.com
508,Order Filler (Former  Employee),Order Filler ,Former Employee, Jacksonville, FL ," Jacksonville, FL "," November 29, 2021",Fun workplace,Fast passed. Fun. Bonuses. Just a really great place to work. Hours worked great. Flexible schedule. Great job for people who like to work out. Very innovative.,Couch in breakroom,Bathrooms is far,5,Amazon.com
509,Associate (Former  Employee),Associate ,Former Employee, Nashville, TN ," Nashville, TN "," November 29, 2021",Flexible with hours,"Working here gives you a lot of opportunities to accumulate PTO (paid time off). Additionally, you can pick whatever schedule you want. You can use PTO at the last second or even days later.",Win prizes,Peak season,4,Amazon.com
510,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Hutchins , Hutchins , Hutchins ," November 29, 2021",Good work space,Good company good evenvironment great benefits good location nice managers sometimes get hectic but the people I work with helps in stressful situations, , ,3,Amazon.com
511,Area Manager (Current  Employee),Area Manager ,Current Employee, Clear Brook, VA ," Clear Brook, VA "," November 29, 2021",L4 & L5 Management,"I would recommend this job for a quick 1 year position to make some money and get out. Amazon tries to consume your life with this job and a lot of people will do anything the company wants...including abuse your work hours big time. Couple notes below:
1. High stress
2. Terrible training programs
3. Low morale
4. Everyone always angry and looking burnt out, no real leadership, and always, always, always micromanaged from above.
5. Senior leadership is always mad when you spend time ""MANAGING"" the associates and not having your nose stuck into your computer looking at the metrics.","Pay with the sign on bonus, Working with the associates was my favorite part of day","Work / Life Balance, Senior leadership, Promotion is based how much they like you",2,Amazon.com
512,magazziniere (Former  Employee),magazziniere ,Former Employee, Passo Corese, Lazio ," Passo Corese, Lazio "," November 29, 2021",L'inferno,"Diventi un robot che fa sempre la stessa cosa per ore. I turni notturni sono una tortura, manager e lead incompetenti e presuntuosi.
Sei una macchina che deve solo produrre e tra l'altro non fai mai carriera perche salvo qualche personaggio,dopo 9 mesi ti silurano.
Stipendio buono e puntuale.",Stipendio,Tutto.,2,Amazon.com
513,Operations Manager (Former  Employee),Operations Manager ,Former Employee, Indianapolis, IN ," Indianapolis, IN "," November 29, 2021","good pay, limited opportunities, unclear guidance at times","good pay, limited opportunities, unclear guidance at times, good overall atmosphere and culture, lots of fun activities during peak. training somewhat limited, expect to do a lot of research on your own to succeed",good pay,unclear guidance,4,Amazon.com
514,Area Manager (Former  Employee),Area Manager ,Former Employee, Houston, TX ," Houston, TX "," November 29, 2021",AMXL terrible network,Amazon itself is a great organization but the AMXL sector needs some help. It’s smaller so you do more work at a position you wouldn’t do in another network. Management is terrible because they’re being harassed all day in unnecessary meetings with Regional Directors. It definitely shows and trickles all the way to the associates.,Great pay and benefits,NEtwork needs better structure. Start from the top,2,Amazon.com
515,Stower (Former  Employee),Stower ,Former Employee, Woippy (57) , Woippy (57) , Woippy (57) ," November 29, 2021",Hypocrisie,Responsable du tout pas à l'écoute du personnel ne sont pas de bons conseils, , ,1,Amazon.com
516,Fulfillment Associate (Former  Employee),Fulfillment Associate ,Former Employee, Romulus, MI ," Romulus, MI "," November 29, 2021",Just a job,So I worked at Amazon for a bit over a month. I was let go due to a negative time off balance before the holiday peak started. I took two days off due to an injury I received while I was working on a home project. I received little to no notice other than an email in my junk after the fact. The management moves through the motions they care very little to no extent of your personal life or career goals and weren’t very warm when you spoke to them. It was very Handmaids tail when it came to breaks pure silence in the break room. The hr was rude during onboarding and treated you like cattle to get your information through no smiles or excitement to see new faces joining the team. The atmosphere was extremely melancholy it just felt like the place had no soul . If all you need is a job and looking for a job where they don’t care about your resume work at a Fulfillment center. Nothing personal just my experience at this place. Also there are a number of caveats to receive the signing bonus that they were so heavily offering at the beginning of the process,"Weekly pay, medical, vision, dental","Work environment, long shifts, management, career opportunities",1,Amazon.com
517,Sr. HRA (Former  Employee),Sr. HRA ,Former Employee, Florida , Florida , Florida ," November 29, 2021",Sr. Hra,"Don’t do it, do not spend the sign on bonus if you do. Favoritism, poor management. Managers can block promotions and transfers. Unfair employment practices daily. Absolutely no work life balance. Management manipulates ambitious workers. HR is a joke. Nice people here and there and that’s about it.", , ,1,Amazon.com
518,operaia (Former  Employee),operaia ,Former Employee, Padova, Veneto ," Padova, Veneto "," November 29, 2021",Ho apprezzato la pretesa di seguire le regole sulla sicurezza,"Mi sono trovata bene,a 56 anni mi sono sentita implosa sia cone lavoratrice che come persona e inserita bene in un complesso prevalentemente di gente giovane. Esperienza positiva sotto tuttii gli aspetti.
Molte aziende italiane avrebbero molto da imparare sia sulla sicurezza che a livello formativo,inoltre non mi sono mai sentita un numero in mezzo a tanti xche l ambiente e'anche umano.","Turni di orari sopportabili visto lavorofisico pesante, buoni padto, sosta di mezzora ottima, gentilezza da parte dei superiori, dispositivi dpm di buona qualita.","Sbalzi di temperatura caldo/freddo, e impossibilita di poter rifare l esperienza lavorativa presso amazon.",5,Amazon.com
519,Picker (Current  Employee),Picker ,Current Employee, Garner, NC ," Garner, NC "," November 29, 2021","Overall Great Job, But...",Great options available if you can do what they set you up to do first. What I mean is that if you are in a position that you don't like right off the gate then you should definitely talk to managers to change spots asap. I was put in a position that I didn't really care for but chose to try to make it work and got written up once for productivity and then asked to be moved to a position that I could be a better fit and I was told that because of the written productivity notice that I wouldn't be able to move spots. Now I understand but to me I feel as though I was set up for failure because now not only was I stuck in a position that I didn't like but now I'm stuck in a position that I obviously am not good at.,Great Benifits,Tough to move,4,Amazon.com
520,Packer (Former  Employee),Packer ,Former Employee, Oklahoma City, OK ," Oklahoma City, OK "," November 29, 2021",Na,Great job easy to get along with people only thing I disliked was management having favorites and picking and choosing but Amazon has a great work environment, , ,5,Amazon.com
521,Associate (Former  Employee),Associate ,Former Employee, Lakeland, FL ," Lakeland, FL "," November 29, 2021",They treat employees as a number unless your a buddy of the Manager.,"Where I work the turnover is unreal. My group started about 5 months ago. There were about 30 of us now there’s 3 left. You have to work 11 1/2 hours and must stand for all of it unless your tight with the Manager. Then you just need to show up and do zero for the shift. They don’t even try to hide the favoritisms and if you don’t like it, goodbye. It’s the haves and have nots and if your the second good luck. We had a guy complain about the manager and he transferred the entire team of 12 to a even harder working position. While the mangers buddies are having a tea party you’re busting your but. They disappear for hours but if you spend five minutes in the bathroom your punished. It’s a terrible place to work and I’d never refer anyone I’d care for a job there. It could be a better place but it seems they don’t care. There’s always 30~40 new people next week and 75% don’t last the first couple weeks.",You do meet some nice people but they never stay long.,Too many to list.,2,Amazon.com
522,Mozo de almacén (Former  Employee),Mozo de almacén ,Former Employee, Sevilla, Sevilla provincia ," Sevilla, Sevilla provincia "," November 29, 2021",Buen ambiente de trabajo,Una empresa que si trabajas directamente con ellos cuidan a sus empleados al máximo y comprometidos con la seguridad., , ,5,Amazon.com
523,Driver (Current  Employee),Driver ,Current Employee, Tulsa, OK ," Tulsa, OK "," November 29, 2021",Easy but fast paced,It’s a delivery job pretty simple and easy work. Show up load the vans and take it to the address. Phone system is horrible but as long as you can work some what fast you’ll be ok, , ,4,Amazon.com
524,Area Manager (Former  Employee),Area Manager ,Former Employee, Connecticut , Connecticut , Connecticut ," November 29, 2021",Pay is good,Compensation is really great here. Advancement opportunities are also good. My only issue are the long hours and overnight shifts. Not very accommodating. Overall decent company to work for!,"Pay, advancement opportunities","Hours, no break for management",4,Amazon.com
525,Associate (Former  Employee),Associate ,Former Employee, Stone Mountain, GA ," Stone Mountain, GA "," November 29, 2021",Sucks,Bad paying job dosent pay well enough overworked .tired Ong .not enough breaks.short breaks .bad procces assistance just horrible but most of all need better pay, , ,2,Amazon.com
526,operaio (Former  Employee),operaio ,Former Employee, Monza, Lombardia ," Monza, Lombardia "," November 29, 2021",Ottimo,Mi sono trovato benissimo e mi hanno trattato benissimo,Tutto,Niente,5,Amazon.com
527,wherehouse worker (Former  Employee),wherehouse worker ,Former Employee, San Bernardino, CA ," San Bernardino, CA "," November 29, 2021",Ehh it wasn’t bad if you need the money,Not terrible but the management gotta go and it would be better if they paid you more for you work or at least pay based on different station in the ware house it’s self some work harder then other depending on the area you are at other than that great place if you need money asap,Flexible,Terrible management,3,Amazon.com
528,Sortation Associate (Current  Employee),Sortation Associate ,Current Employee, Newark, CA ," Newark, CA "," November 28, 2021",Horrible,Managers will pick on you for no reasons. Threaten to fire you over the smallest things. They are more on a power trip than actually appreciating their employees. No effort to connect or engage with their employees. Sad place to work at., , ,1,Amazon.com
529,Driver (Former  Employee),Driver ,Former Employee, Atlanta, GA ," Atlanta, GA "," November 28, 2021",Ok,It’s ok it’s a job work is work warehouse it’s up to you if you like ware house it’s for you flexible hours will work with your schedule can’t complain, , ,5,Amazon.com
530,Assistant Manager (Former  Employee),Assistant Manager ,Former Employee, Carteret, NJ ," Carteret, NJ "," November 28, 2021",Hard work pays off.,Really enjoyed my time at amazon. Learned a lot from my managers and Sr. Ops. Started from level one to level 3 with in months. If you show character on assigned duties and excel there will be an opportunity coming your way. Make sure to let your manger know and keep on pushing till you get it.,"Good Benefits, Work advancement.","Long days, Long distance to break room.",4,Amazon.com
531,SDE Intern (Former  Employee),SDE Intern ,Former Employee, Hyderabad, Telangana ," Hyderabad, Telangana "," November 28, 2021",Nice,Hebdbn do you have to be a good morning's or a bottle of the way to get a chance to meet you at the end of the day and not a problem with the panel but I am not sure if you are not the only thing I will be available for remote and the interviewer didn't get a chance to meet you at the end of the day, , ,5,Amazon.com
532,Packer (Former  Employee),Packer ,Former Employee, Etna, OH ," Etna, OH "," November 28, 2021",The diversity,The amazon I worked at is very diverse and they do a good job acknowledging the cultures throughout the company. They respect them for the most part..,"Benefits, pay",Hr,3,Amazon.com
533,Operations Supervisor (Former  Employee),Operations Supervisor ,Former Employee, Trento, Trentino," Trento, Trentino,Alto Adige "," November 28, 2021",Dtt1 trento: schiavitù moderna,"Assunto con un contratto a tempo indeterminato. Tanta ambizione, tanta voglia di fare, tanto entusiasmo per il primo vero lavoro; tutto smontato dopo il primo mese. Formazione pari pressoché a zero, nessuno ti insegna un cavolo però poi sta a te pagare le conseguenze degli errori che inevitabilmente si commettono (e che vengono rimarcati tra colleghi nel primo momento utile, per metterti in ridicolo per bene). Sbattuto dal primo giorno in magazzino con un PC in mano senza che nessuno ti dica cosa devi fare realmente, completamente da solo, nessun affiancamento, spaesato come poche volte in vita mia, con il solo obbligo dell’avere l’agenda piena.. Pressioni continue, fino allo sfinimento, mobbing da parte di manager teenager (uomini e donne di m..), offese personali all’ordine del giorno dietro le spalle. Ho resistito 3 lunghissimi ed estenuanti mesi, e poi finalmente il giorno più bello della mia vita: averli ridicolizzati di persona e andarmene. State lontani da AMAZON di TRENTO (DTT1), ve ne prego! E se questa recensione sarà in grado di aiutare anche solo uno di voi, sono contento. Avrei voluto tanto sapere anche io a cosa sarei andato incontro.",nessuno,leggi sopra,1,Amazon.com
534,Chargée de logistique (Former  Employee),Chargée de logistique ,Former Employee, Survilliers (95) , Survilliers (95) , Survilliers (95) ," November 28, 2021",Bien,"Bien
Salaire eleve et prime
Manageur a l ecoute
Travail en equipe", , ,4,Amazon.com
535,Transportation Specialist (Current  Employee),Transportation Specialist ,Current Employee, Hyderabad, Telangana ," Hyderabad, Telangana "," November 28, 2021",Fun and good freshers,"If your an expericed person better choose different company rather than amazon as growth in amazon is limited and subjected to only few .
Here tenurity is more important than a employee skill and his capability.",company benifits,limits your skills,2,Amazon.com
536,Transportation Associate Manager (Former  Employee),Transportation Associate Manager ,Former Employee, Hillsboro, OR ," Hillsboro, OR "," November 28, 2021","It was pretty fun, I felt very respected by My direct manager.","As it was a Tier III position, it wasn’t “entry-level” persay. With that said, it wasn’t hard, most of the people were employees from other departments. Even with a CDL already, I was told it would likely still take about twoish years working there before I’d even be able to use it to drive for Amazon other than just doing “yard-dog” duties. We did get a “new” CEO during my time there; so, only time will tell how his presence hopefully positively improves the company for any and all involved, not just shareholders.","Free coffee. Work shoes covered up to $150 for my position. Covered safety items: gloves, led light, safety vest. Occasional giveaways.","A few Super “sensitive” people, at the location I worked at; and I’m not an active a**hole.",2,Amazon.com
537,Area Manager (Former  Employee),Area Manager ,Former Employee, Kansas City, KS ," Kansas City, KS "," November 28, 2021","Huge workload, good compensation plan","Need to be excellent at time management to complete some of your tasks. It's not possible to do it all so make sure you set your priorities for the day. Coworkers are great, management is helpful if you reach out to them. Always learning something new.","Nice compensation, coworkers",Workload,4,Amazon.com
538,Sortation. Dock worker. Pick and stage. Stow packages (Current  Employee),Sortation. Dock worker. Pick and stage. Stow packages ,Current Employee, Holyoke, MA ," Holyoke, MA "," November 28, 2021",You are only a number to them. No certain given role. Your position will change due to where you are needed throughout the day,Horrible atmosphere. Not kept clean. Only a number. Hard workers pushed to the limit while others skate by doing nothing. Not a good work place. Management May say they care about you. But truthfully only care about the work being done and the numbers. All a number and output game.,Win gear. But have to work hard for it,Work is hard. Pushed to work harder,2,Amazon.com
539,Senior Project Manager (Former  Employee),Senior Project Manager ,Former Employee, United Kingdom , United Kingdom , United Kingdom ," November 28, 2021",Good and beautiful,"Good helpful people and very kind work environment i really advise all the people who wants to work in Amazon , it would be good oppurtunity for professionals", , ,5,Amazon.com
540,Line Worker (Current  Employee),Line Worker ,Current Employee, Hebron Kentucky , Hebron Kentucky , Hebron Kentucky ," November 28, 2021",Cvg2,Horrible experience. Worst job I have ever had in my entire life. Very stressful. Extremely toxic. A lot of favoritism going on. I would warn and gone who is looking for a job at amazon do not apply at cvg2. I have heard way too many complaints from other employees working at that building. They will write you up so that you cannot transfer to a different department inside of that building. Stay away from this building,Really good pay,"Stress, extremely toxic",1,Amazon.com
541,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, DCA1 , DCA1 , DCA1 ," November 28, 2021",Amazon as a whole is great- Managerial Minions kill the vibe,"Amazon is a great company to work for. The benefits are unmatched. However Amazon does not do a good job when hiring Managers. Most of the Managers at DCA1 are young, ghetto and rude. They do not know how to communicate efficiently. I also don't like that after the pandemic we would be forced to work jobs we did not sign up for.
Example -Flex Shift
I pick a shift as a singles packer, then when you get there they have you everywhere but there.
Moving from one department might sound minor, but if you are uncomfortable somewhere, and it affects your rates, your job is at risk now because you can't keep up in the department.
Don't give people the option to choose department if you won't honor it when we get there.", , ,3,Amazon.com
542,Transaction Risk Investigator (Former  Employee),Transaction Risk Investigator ,Former Employee, Bengaluru, Karnataka ," Bengaluru, Karnataka "," November 28, 2021",Productive and fun at work place,Amazing colleagues and great environment to start with. Have lot of opportunities to learn and excel things . have right support for any career advancement,Career advancement,Slow promotion,5,Amazon.com
543,Warehouse Operative / Order Picker (Former  Employee),Warehouse Operative / Order Picker ,Former Employee, Hemel Hempstead , Hemel Hempstead , Hemel Hempstead ," November 28, 2021",Great place to work.,I loved working for amazon. I have also recommended working at amazon to my close friends. It's a brilliant working environment and the people and management are all so helpful.,Learning new skills,Long hours,5,Amazon.com
544,RME Sr Supervisor Tecnico di controllo (supervisore) (Former  Employee),RME Sr Supervisor Tecnico di controllo ,Former Employee, Rovigo, Veneto ," Rovigo, Veneto "," November 28, 2021",Poche idee e confuse.,"In Amazon non hanno compreso che un profilo senior in ambito tecnico deve essere allineato non solo economicamente ma anche professionalmente alle sue competenze.
La mia esperienza come supervisore tecnico RME è stata deludente, oltre a quello già citato nello specifico a Castelguglielmo non esiste un management adeguato in grado di elaborare idee ma soprattutto di sostenere il team che opera sul campo.
Dal punto di vista economico non è assolutamente positivo, ti danno benefit a cui devi pagare quasi il 50 percento di tasse e imposte, ( che non ti dicono in fase contrattuale) di danno stock actions che è impossibile monetizzare per la complessità dei passaggi ( broker in usa) alla fine per quello che fai in termini di ore e impegno non c'è equilibrio. Consiglio questa scelta a tecnici junior per le prime esperienze lavorative, per i senior non è una buona scelta.",Stipendio puntuale,Troppi,3,Amazon.com
545,Agent logistique (Former  Employee),Agent logistique ,Former Employee, Sevrey (71) , Sevrey (71) , Sevrey (71) ," November 28, 2021",Bien,"Super. Une bonne entreprise où on prend le temps de bien former les gens. Bonne ambiance. Et une fois embauché, il y a beaucoup d'avantages !",Paie (de nuit). Ambiance, ,5,Amazon.com
546,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Oklahoma City, OK ," Oklahoma City, OK "," November 27, 2021","i mean it’s amazon , what do you expect","i mean you all know what goes on at amazon. Completely nonstop work for 10 hours straight. It’s not a hard job to learn, but it kills your body. Wear really good shoes", , ,3,Amazon.com
547,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, Kyle, TX ," Kyle, TX "," November 27, 2021",It's alright,There some pretty cool people in the company. It's not hard to be promoted within the company. It's alot of busy work. If I worked in lanes I would've quit along time ago, , ,4,Amazon.com
548,Area Manager (Current  Employee),Area Manager ,Current Employee, Newnan, GA ," Newnan, GA "," November 27, 2021",Mentally Draining,"It’s a great brand company, but if you have any human values and like to be heard than don’t do it. You will have the opportunity to present things but most things won’t follow through depending on your manager. It is hard to treat associates the way they want us to treat them and when we do we are blamed for. Associates are overworked and not compensated. You will not get a bonus work 13 hours a shift and no extra pay as a manger. With this shift please beware that your social life is gone. Amazon is nice on a resume but mentally and physically draining.",Meet new people,Long hours,2,Amazon.com
549,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Deltona, FL ," Deltona, FL "," November 27, 2021",Great benefits. Pay is also good.,"Amazon has great pay and good benefits. Working hours and conditions are just terrible. Forced to do overtime at the last minute. Sometimes 12 hour days, for 6 days a week. They don't want to hear it if you tell them it's too much. Management treats employees like slaves. To them, we are robots, not humans. Training is also horrible. They expect you will know how to do something without being taught. The warehouse is very large. Most of your break is used up walking to and from the break room; 10 minutes each way. Management has no compassion for anyone. Amazon cares only about making the figures. If you are young and in great shape, you may be able to handle it. If you are not used to physically demanding jobs, I won't recommend it.",Great pay and benefits.,"Management treats you like a robot, not human.",3,Amazon.com
550,Packer (Former  Employee),Packer ,Former Employee, Chattanooga, TN ," Chattanooga, TN "," November 27, 2021",Not worth it for the wages you make,"Not worth it for the wages you make. I made about 1250 an hour working from 6:30 PM until 5 AM. I was a packer so my job was to construct boxes and fill them in order to meet the requirement of 100% every single day. You work for 12 hour shifts in a work week and they place you wherever they would like you to be. I am by no means a strong or tall individual, however it always seemed as if they were purposefully putting me in the most strenuous and heavy section every other day. Any time I asked to move over to multi smalls or singles they would tell me no. So because of the few months that I worked there I now have even worse back issues than I did before starting.",There’s opportunities for overtime,Everything else,2,Amazon.com
551,Operador de Produção (Former  Employee),Operador de Produção ,Former Employee, Betim, MG ," Betim, MG "," November 27, 2021",Acaba com seu emocional,Dão créditos para quem não faz e quem faz nao tem valor nenhum,Refeição na empresa e fretado,Na gestão,1,Amazon.com
552,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Richmond, CA ," Richmond, CA "," November 27, 2021",Employer satisfaction,I was very satisfied with the management when I worked at amazon. They helped meet my needs and worked with me to make sure it was a safe and effective environment.,"Instant benefits, discounts, and free work shoes.",10 hour graveyard shifts,5,Amazon.com
553,Customer Service Representative (Former  Employee),Customer Service Representative ,Former Employee, Remote , Remote , Remote ," November 27, 2021",Great Place,I honestly loved working for the call center. A typical day included that of a call center. Answer the phone and answer the caller's questions. It stayed busy (especially when everyone was locked down due to the pandemic.) Management was always there and super helpful IF you needed it however training provided all the essentials needed to be successful in the position.,"High Volume, Management, Pto, Sick Leave",Benefits,4,Amazon.com
